epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,27,,,7550.55078125,0.9867133498191833,10702.8603515625,1.9484226703643799,7548.466796875
0,27,7577.6533203125,,,,,,
1,49,,7488.90625,,,,,
1,55,,,7467.4052734375,0.9544663429260254,10642.22265625,1.8343255519866943,7463.77978515625
1,55,7510.22119140625,,,,,,
2,83,,,7338.03271484375,0.904478907585144,10548.609375,1.6804172992706299,7332.9931640625
2,83,7366.4453125,,,,,,
3,99,,7024.1220703125,,,,,
3,111,,,7165.9326171875,0.8424522280693054,10424.533203125,1.5095754861831665,7159.57470703125
3,111,7254.33740234375,,,,,,
4,139,,,6956.23486328125,0.77623450756073,10272.462890625,1.33851158618927,6948.25634765625
4,139,7031.50048828125,,,,,,
5,149,,6859.75390625,,,,,
5,167,,,6720.5615234375,0.7185764312744141,10095.64453125,1.1829220056533813,6708.333984375
5,167,6828.046875,,,,,,
6,195,,,6475.1904296875,0.6806951761245728,9898.2138671875,1.0523080825805664,6451.294921875
6,195,6602.2265625,,,,,,
7,199,,5156.701171875,,,,,
7,223,,,6236.37255859375,0.6672490239143372,9686.607421875,0.9485248923301697,6186.7021484375
7,223,6360.97265625,,,,,,
8,249,,6796.44287109375,,,,,
8,251,,,6022.46728515625,0.682648241519928,9468.0029296875,0.872734010219574,5924.1953125
8,251,6121.96533203125,,,,,,
9,279,,,5833.9912109375,0.7202997803688049,9248.916015625,0.8159542083740234,5665.66650390625
9,279,5807.95458984375,,,,,,
10,299,,6460.5009765625,,,,,
10,307,,,5683.8740234375,0.7784913182258606,9040.875,0.7774859666824341,5414.91357421875
10,307,5494.52392578125,,,,,,
11,335,,,5557.76806640625,0.8339332938194275,8844.9130859375,0.7492195963859558,5175.0166015625
11,335,5336.9326171875,,,,,,
12,349,,5322.583984375,,,,,
12,363,,,5497.8759765625,0.9281095862388611,8695.9677734375,0.7374647855758667,4975.36572265625
12,363,5154.76123046875,,,,,,
13,391,,,5456.5361328125,1.0078929662704468,8568.3916015625,0.7302182912826538,4769.32275390625
13,391,4874.78369140625,,,,,,
14,399,,8986.11328125,,,,,
14,419,,,5437.60986328125,1.0866448879241943,8466.109375,0.7272442579269409,4579.72119140625
14,419,4646.54248046875,,,,,,
15,447,,,5434.994140625,1.1455869674682617,8402.3271484375,0.7269821763038635,4411.09130859375
15,447,4520.00537109375,,,,,,
16,449,,6505.58740234375,,,,,
16,475,,,5438.3935546875,1.193784236907959,8357.048828125,0.7275582551956177,4261.09912109375
16,475,4422.08447265625,,,,,,
17,499,,4003.027587890625,,,,,
17,503,,,5440.43408203125,1.207959532737732,8344.6103515625,0.7278936505317688,4131.853515625
17,503,4137.26611328125,,,,,,
18,531,,,5438.98974609375,1.1988803148269653,8352.376953125,0.7276579141616821,4020.077392578125
18,531,4071.871337890625,,,,,,
19,549,,3713.903564453125,,,,,
19,559,,,5437.21435546875,1.1880545616149902,8361.2822265625,0.7273691296577454,3927.0732421875
19,559,3956.908203125,,,,,,
20,587,,,5434.47216796875,1.171359658241272,8374.4619140625,0.7269250154495239,3845.27294921875
20,587,3895.042236328125,,,,,,
21,599,,3988.863525390625,,,,,
21,615,,,5417.37890625,1.1531097888946533,8365.6865234375,0.7240015268325806,3782.6396484375
21,615,3857.38623046875,,,,,,
22,643,,,5405.662109375,1.1290758848190308,8371.7724609375,0.7217888236045837,3741.701171875
22,643,3740.24853515625,,,,,,
23,649,,3864.15380859375,,,,,
23,671,,,5395.59423828125,1.1011673212051392,8382.703125,0.7197231650352478,3707.99609375
23,671,3710.306640625,,,,,,
24,699,,3411.434814453125,,,,,
24,699,,,5398.5009765625,1.1290812492370605,8359.4296875,0.7204667925834656,3677.084228515625
24,699,3727.100830078125,,,,,,
25,727,,,5376.5693359375,1.101760983467102,8345.3740234375,0.7158412337303162,3650.37744140625
25,727,3708.286376953125,,,,,,
26,749,,2420.1513671875,,,,,
26,755,,,5384.09765625,1.1090185642242432,8353.5625,0.7175670862197876,3626.64208984375
26,755,3617.516845703125,,,,,,
27,783,,,5378.3046875,1.1006014347076416,8351.06640625,0.7163544297218323,3604.739990234375
27,783,3566.880615234375,,,,,,
28,799,,5725.921875,,,,,
28,811,,,5369.26513671875,1.0929765701293945,8342.3720703125,0.7147405743598938,3586.471435546875
28,811,3594.611572265625,,,,,,
29,839,,,5369.587890625,1.1011643409729004,8333.44921875,0.714593768119812,3575.46044921875
29,839,3566.539306640625,,,,,,
